Year,GEO ID,State,State Abbreviation,County Name,"New Diagnoses
Cases","New Diagnoses
Rate","New Diagnoses
Rate Stability","New Diagnoses
Male Rate","New Diagnoses
Male Rate Stability","New Diagnoses
Male Cases","New Diagnoses
Female Rate","New Diagnoses
Female Rate
Stability","New Diagnoses
Female Cases","New Diagnoses
Black Rate","New Diagnoses
Black Rate Stability","New Diagnoses
Black Cases","New Diagnoses
White Rate","New Diagnoses
White Rate Stability","New Diagnoses
White Cases","New Diagnoses
Hispanic Rate","New Diagnoses
Hispanic Rate
Stability","New Diagnoses
Hispanic Cases","New Diagnoses
Asian Rate","New Diagnoses
Asian Rate Stability","New Diagnoses
Asian Cases","New Diagnoses
American
Indian/Alaska
Native Rate","New Diagnoses
American
Indian/Alaska
Native Rate
Stability","New Diagnoses
American
Indian/Alaska
Native Cases","New Diagnoses
Multiple Races Rate","New Diagnoses
Multiple Races Rate
Stability","New Diagnoses
Multiple Races
Cases","New Diagnoses
Native
Hawaiian/Other
Pacific Islander
Rate","New Diagnoses
Native
Hawaiian/Other
Pacific Islander
Rate Stability","New Diagnoses
Native
Hawaiian/Other
Pacific Islander
Cases","New Diagnoses
Age 13-24 Rate","New Diagnoses
Age 13-24 Rate
Stability","New Diagnoses
Age 13-24 Cases","New Diagnoses
Age 25-34 Rate","New Diagnoses
Age 25-34 Rate
Stability","New Diagnoses
Age 25-34 Cases","New Diagnoses
Age 35-44 Rate","New Diagnoses
Age 35-44 Rate
Stability","New Diagnoses
Age 35-44 Cases","New Diagnoses
Age 45-54 Rate","New Diagnoses
Age 45-54 Rate
Stability","New Diagnoses
Age 45-54 Cases","New Diagnoses
Age 55-64 Rate","New Diagnoses
Age 55-64 Rate
Stability","New Diagnoses
Age 55-64 Cases","New Diagnoses
Age 65+ Rate","New Diagnoses
Age 65+ Rate
Stability","New Diagnoses
Age 65+ Cases","New Diagnoses
Heterosexual
Contact Percent","New Diagnoses
Heterosexual
Contact Cases","New Diagnoses IDU
Percent","New Diagnoses IDU
Cases","New Diagnoses
Other Transmission
Category Percent","New Diagnoses
Other Transmission
Category Cases","New Diagnoses
MSM Rate","New Diagnoses
MSM Percent","New Diagnoses
MSM Cases","New Diagnoses
MSM/IDU Percent","New Diagnoses
MSM/IDU Cases","New Diagnoses
Male and MSM
Percent","New Diagnoses
Male and MSM
Cases","New Diagnoses
Male and IDU
Percent","New Diagnoses
Male and IDU
Cases","New Diagnoses
Male and MSM/IDU
Percent","New Diagnoses
Male and MSM/IDU
Cases","New Diagnoses
Male and
Heterosexual
Contact Percent","New Diagnoses
Male and
Heterosexual
Contact Cases","New Diagnoses
Male and Other
Transmission
Category Percent","New Diagnoses
Male and Other
Transmission
Category Cases","New Diagnoses
Female and IDU
Percent","New Diagnoses
Female and IDU
Cases","New Diagnoses
Female and
Heterosexual
Contact Percent","New Diagnoses
Female and
Heterosexual
Contact Cases","New Diagnoses
Female and Other
Transmission
Category Percent","New Diagnoses
Female and Other
Transmission
Category Cases","Correctional
Facility Warning"
2008,1001,Alabama,AL,Autauga County,8,20,N,-1,-9,-1,-1,-9,-1,-1,-9,-1,19,N,6,0,-9,0,0,-9,0,0,-9,0,0,-9,0,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,0,-9,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
2008,1003,Alabama,AL,Baldwin County,18,12,Y,18,Y,13,7,N,5,65,N,9,4,N,5,-1,-9,-1,0,-9,0,0,-9,0,-1,-9,-1,-1,-9,-1,27,N,7,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,0,-9,0,27.8,5,-1,-1,0,0,-9,61.1,11,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1
2008,1005,Alabama,AL,Barbour County,5,20,N,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,-1,-9,-1,0,-9,0,0,-9,0,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1
2008,1007,Alabama,AL,Bibb County,-1,-1,-9,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1
2008,1009,Alabama,AL,Blount County,-1,-1,-9,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
2008,1011,Alabama,AL,Bullock County,-1,-1,-9,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1
2008,1013,Alabama,AL,Butler County,5,30,N,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,0,-9,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
2008,1015,Alabama,AL,Calhoun County,5,5,N,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,0,-9,0,0,-9,0,0,-9,0,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,0,-9,0,0,-9,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
2008,1017,Alabama,AL,Chambers County,-1,-1,-9,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
2008,1019,Alabama,AL,Cherokee County,6,29,N,-1,-9,-1,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,-1,-9,-1,-1,-9,-1,0,-9,0,-1,-9,-1,-1,-9,-1,-1,-9,-1,0,-9,0,-1,-9,-1,-1,-9,-1,0,-9,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
